delivery_id,drone_id,route_id,delivery_date,departure_time,weather_condition,temperature,wind_speed,precipitation_mm,distance_km,battery_level_start,package_weight_kg,package_type,delivery_zone,delivery_area,traffic_congestion,pilot_experience_years,drone_model,battery_consumption_rate,landing_accuracy_m,flight_duration_min,battery_level_end,arrival_time,delivery_success
D-000024,DRN-021-A,RT-KZN-MOW-02,2023-02-15,2023-01-01 14:58:00,Cloudy,15.08,0.84,1.14,0.81,87.42,6.02,Standard,Commercial,Rural,Medium,0.74,ND-Light-Carry-X1,54.63,1.12,-1.15,88.47,2023-01-01 14:56:50.729478204,1
D-000025,DRN-039-B,RT-KZN-EKB-04,2023-05-20,2023-01-01 19:59:00,Rainy,17.29,1.3,0.24,9.48,98.98,2.7,Standard,Residential,Rural,Low,2.23,ND-AllTerrain-X1,45.39,0.84,37.84,70.35,2023-01-01 20:36:50.172736386,1
D-000026,DRN-004-A,RT-EKB-KZN-13,2023-02-22,2023-01-01 16:06:00,Sunny,13.22,0.33,1.85,3.31,87.34,18.99,Standard,Commercial,Urban,Medium,4.74,ND-Light-Carry-X1,126.35,2.04,16.62,52.34,2023-01-01 16:22:37.127910732,1
D-000027,DRN-060-B,RT-KZN-MOW-07,2023-10-28,2023-01-01 17:21:00,Foggy,14.53,11.65,1.02,7.65,93.91,7.43,Oversized,Residential,Urban,Medium,8.98,ND-AllTerrain-X1,69.77,1.54,31.14,57.71,2023-01-01 17:52:08.254322652,1
D-000028,DRN-009-B,RT-EKB-MOW-14,2023-10-15,2023-01-01 15:28:00,Cloudy,2.39,8.71,1.51,7.62,83.31,3.13,Standard,Residential,Suburban,High,7.55,ND-AllTerrain-X1,48.16,1.9,37.75,53.01,2023-01-01 16:05:44.798904228,1
D-000029,DRN-053-B,RT-EKB-MOW-14,2023-10-01,2023-01-01 14:09:00,Cloudy,18.52,0.35,0.07,3.7,89.21,7.03,Perishable,Commercial,Suburban,Medium,6.23,ND-Speedster-X1,66.5,0.97,21.99,64.83,2023-01-01 14:30:59.407059030,1
D-000030,DRN-084-C,RT-EKB-KZN-08,2023-09-26,2023-01-01 09:13:00,Sunny,30.37,3.41,0.23,8.42,97.43,20.14,Oversized,Commercial,Rural,Medium,4.5,ND-Speedster-X1,129.78,1.49,37.4,16.53,2023-01-01 09:50:24.001978764,1
D-000031,DRN-060-C,RT-NSK-MOW-19,2023-10-06,2023-01-01 06:04:00,Stormy,13.05,12.92,1.34,5.47,86.4,1.41,Oversized,Commercial,Rural,Low,5.7,ND-Light-Carry-X1,37.25,1.29,23.9,71.56,2023-01-01 06:27:53.871127950,1
D-000032,DRN-044-A,RT-MOW-SPB-15,2023-03-03,2023-01-01 18:05:00,Rainy,12.81,5.5,0.92,7.53,82.1,2.1,Perishable,Residential,Rural,Medium,2.8,ND-Heavy-Lift-X1,38.57,1.63,24.39,66.43,2023-01-01 18:29:23.290218090,1
D-000033,DRN-008-C,RT-EKB-SPB-18,2023-02-23,2023-01-01 11:59:00,Sunny,16.0,2.71,0.39,3.63,90.45,0.56,Perishable,Residential,Suburban,Medium,3.39,ND-Speedster-X1,33.39,1.7,4.33,88.04,2023-01-01 12:03:19.940191164,1
D-000034,DRN-035-B,RT-MOW-NSK-13,2023-03-10,2023-01-01 06:14:00,Stormy,28.42,1.1,0.41,2.73,88.79,6.14,Fragile,Residential,Urban,Medium,1.24,ND-Speedster-X1,58.34,1.52,8.7,80.33,2023-01-01 06:22:41.836133172,1
D-000035,DRN-081-B,RT-MOW-KZN-13,2023-08-30,2023-01-01 12:39:00,Cloudy,4.26,1.31,1.5,1.98,84.59,7.3,Fragile,Industrial,Rural,Medium,1.97,ND-Heavy-Lift-X1,66.91,2.01,8.8,74.77,2023-01-01 12:47:48.284064480,1
D-000036,DRN-004-B,RT-NSK-MOW-14,2023-09-27,2023-01-01 17:52:00,Rainy,32.41,5.33,0.09,1.39,98.11,14.28,Standard,Residential,Urban,Low,3.32,ND-AllTerrain-X1,100.09,2.33,6.78,86.79,2023-01-01 17:58:47.061682026,1
D-000037,DRN-006-B,RT-NSK-NSK-17,2023-09-09,2023-01-01 07:17:00,Rainy,20.05,6.07,0.85,3.89,92.03,4.72,Fragile,Industrial,Urban,Low,1.94,ND-Light-Carry-X1,51.15,1.0,16.68,77.82,2023-01-01 07:33:40.636815966,1
D-000038,DRN-004-B,RT-NSK-EKB-12,2023-12-20,2023-01-01 16:20:00,Rainy,15.34,3.01,1.11,1.48,86.94,4.63,Standard,Industrial,Urban,Medium,1.02,ND-Heavy-Lift-X1,56.29,1.34,3.45,83.71,2023-01-01 16:23:26.733785076,1
D-000039,DRN-093-C,RT-KZN-NSK-17,2023-10-11,2023-01-01 12:06:00,Stormy,29.56,0.52,0.55,4.78,99.92,17.14,Fragile,Industrial,Urban,Medium,1.44,ND-Light-Carry-X1,118.07,1.49,22.2,56.23,2023-01-01 12:28:12.210911340,0
D-000040,DRN-018-B,RT-MOW-KZN-20,2023-12-17,2023-01-01 18:51:00,Stormy,0.82,10.86,2.58,2.16,82.75,4.06,Perishable,Industrial,Urban,Low,2.82,ND-AllTerrain-X1,50.45,2.21,8.38,75.71,2023-01-01 18:59:22.660645212,1
D-000041,DRN-044-B,RT-NSK-MOW-02,2023-03-12,2023-01-01 16:47:00,Foggy,21.26,7.45,0.09,2.88,96.96,1.54,Fragile,Commercial,Suburban,Medium,2.57,ND-Light-Carry-X1,32.46,0.89,12.86,90.0,2023-01-01 16:59:51.522366252,1
D-000042,DRN-074-B,RT-SPB-SPB-11,2023-11-19,2023-01-01 19:18:00,Sunny,20.16,0.61,3.01,5.55,84.61,2.19,Fragile,Industrial,Suburban,Medium,2.27,ND-Heavy-Lift-X1,38.31,0.96,24.56,68.93,2023-01-01 19:42:33.473137656,1
D-000043,DRN-100-B,RT-EKB-EKB-12,2023-04-10,2023-01-01 14:11:00,Cloudy,3.77,0.23,1.93,7.06,84.79,21.55,Oversized,Industrial,Urban,Medium,1.19,ND-Light-Carry-X1,137.51,1.87,27.37,22.07,2023-01-01 14:38:22.000038000,1
D-000044,DRN-095-C,RT-NSK-NSK-13,2023-03-02,2023-01-01 19:29:00,Cloudy,20.53,3.07,0.89,2.27,89.96,16.24,Perishable,Residential,Rural,Low,11.2,ND-Speedster-X1,112.61,1.15,7.08,76.68,2023-01-01 19:36:04.648128348,1
D-000045,DRN-072-B,RT-KZN-MOW-06,2023-04-13,2023-01-01 12:01:00,Rainy,18.4,1.34,3.87,1.23,93.24,2.5,Standard,Industrial,Suburban,Medium,1.25,ND-Speedster-X1,43.94,1.25,14.8,82.4,2023-01-01 12:15:48.215713482,1
D-000046,DRN-087-A,RT-SPB-MOW-15,2023-04-29,2023-01-01 06:10:00,Cloudy,12.86,1.33,1.82,4.61,93.81,9.19,Fragile,Commercial,Urban,Low,3.9,ND-AllTerrain-X1,76.64,1.52,22.27,65.36,2023-01-01 06:32:16.237712159,1
D-000047,DRN-062-A,RT-SPB-NSK-16,2023-01-17,2023-01-01 07:11:00,Sunny,25.35,0.37,4.01,4.29,80.44,2.49,Standard,Residential,Urban,Low,1.48,ND-Light-Carry-X1,42.56,1.26,15.94,69.14,2023-01-01 07:26:56.222879082,0
D-000048,DRN-080-A,RT-KZN-NSK-10,2023-11-01,2023-01-01 08:20:00,Rainy,8.14,12.26,0.96,8.41,85.74,2.94,Standard,Industrial,Suburban,Low,0.19,ND-Speedster-X1,44.04,1.63,34.16,60.66,2023-01-01 08:54:09.470707722,1
D-000049,DRN-082-C,RT-MOW-EKB-14,2023-07-10,2023-01-01 19:14:00,Foggy,18.24,7.09,0.9,2.07,93.21,1.62,Perishable,Industrial,Suburban,Medium,3.15,ND-AllTerrain-X1,36.22,1.14,7.2,88.86,2023-01-01 19:21:12.297929004,1
D-000050,DRN-053-B,RT-EKB-SPB-12,2023-07-31,2023-01-01 08:41:00,Cloudy,13.42,0.48,1.13,2.02,97.79,3.33,Standard,Commercial,Urban,Low,0.27,ND-Light-Carry-X1,51.61,1.42,8.92,90.12,2023-01-01 08:49:54.983867670,1
D-000051,DRN-089-A,RT-NSK-EKB-10,2023-03-19,2023-01-01 14:09:00,Sunny,7.62,8.37,0.1,4.98,93.4,6.62,Oversized,Commercial,Urban,High,5.17,ND-AllTerrain-X1,66.2,1.84,23.8,67.13,2023-01-01 14:32:48.189922560,1
D-000052,DRN-041-A,RT-SPB-NSK-04,2023-02-15,2023-01-01 09:54:00,Sunny,21.03,4.59,3.59,3.53,85.32,1.67,Fragile,Commercial,Urban,Medium,2.64,ND-AllTerrain-X1,40.1,1.15,11.98,77.31,2023-01-01 10:05:58.822974366,1
D-000053,DRN-015-A,RT-EKB-MOW-13,2023-04-03,2023-01-01 09:50:00,Sunny,12.51,1.57,1.65,6.89,90.16,8.34,Standard,Industrial,Rural,Medium,1.5,ND-Heavy-Lift-X1,68.28,1.53,31.31,54.52,2023-01-01 10:21:18.602314524,1
D-000054,DRN-065-A,RT-SPB-MOW-09,2023-01-13,2023-01-01 15:16:00,Rainy,-2.68,8.2,1.44,4.29,92.95,1.22,Standard,Residential,Urban,Medium,1.64,ND-Heavy-Lift-X1,32.53,2.61,19.3,82.49,2023-01-01 15:35:18.256532394,1
D-000055,DRN-071-A,RT-KZN-MOW-10,2023-08-16,2023-01-01 19:43:00,Stormy,-6.61,3.65,3.91,4.81,82.71,12.67,Standard,Industrial,Urban,Medium,0.77,ND-Light-Carry-X1,93.24,2.36,17.86,54.95,2023-01-01 20:00:51.661535346,0
D-000056,DRN-088-A,RT-EKB-SPB-06,2023-10-28,2023-01-01 14:26:00,Sunny,24.47,7.55,7.59,2.62,90.9,10.1,Standard,Residential,Suburban,Medium,3.41,ND-AllTerrain-X1,78.97,1.7,15.3,70.75,2023-01-01 14:41:18.295314954,1
D-000057,DRN-008-C,RT-NSK-NSK-06,2023-01-17,2023-01-01 06:10:00,Cloudy,0.35,2.53,0.27,3.56,89.43,11.16,Oversized,Residential,Urban,High,2.62,ND-Speedster-X1,82.36,2.27,13.25,71.25,2023-01-01 06:23:14.759793636,1
D-000058,DRN-011-C,RT-NSK-NSK-15,2023-10-30,2023-01-01 18:00:00,Rainy,18.35,2.78,2.07,5.83,86.73,6.05,Standard,Industrial,Suburban,Low,1.39,ND-Light-Carry-X1,60.56,1.23,18.45,68.1,2023-01-01 18:18:27.275683836,1
D-000059,DRN-081-C,RT-KZN-EKB-10,2023-03-03,2023-01-01 06:20:00,Sunny,15.66,1.38,1.3,0.37,92.47,7.49,Perishable,Residential,Suburban,Low,2.12,ND-AllTerrain-X1,61.81,1.23,5.52,86.79,2023-01-01 06:25:31.171519656,1
D-000060,DRN-035-A,RT-MOW-SPB-18,2023-02-12,2023-01-01 12:22:00,Cloudy,10.58,1.96,0.93,11.83,92.72,8.02,Oversized,Industrial,Urban,Medium,0.91,ND-Light-Carry-X1,69.82,1.64,45.88,39.33,2023-01-01 13:07:52.891703568,1
D-000061,DRN-005-B,RT-SPB-SPB-20,2023-03-09,2023-01-01 15:47:00,Rainy,38.48,3.36,5.7,1.92,99.43,5.64,Fragile,Rural,Urban,High,0.86,ND-Heavy-Lift-X1,59.75,2.54,11.52,87.95,2023-01-01 15:58:31.461674424,1
D-000062,DRN-041-C,RT-MOW-SPB-08,2023-07-31,2023-01-01 06:21:00,Rainy,17.16,11.75,2.85,3.86,88.57,7.01,Standard,Residential,Urban,Medium,2.62,ND-Light-Carry-X1,66.46,1.8,25.51,60.31,2023-01-01 06:46:30.676601574,0
D-000063,DRN-073-B,RT-EKB-SPB-11,2023-07-22,2023-01-01 14:05:00,Cloudy,24.07,3.67,1.79,2.48,90.63,1.17,Oversized,Rural,Rural,Low,3.02,ND-Speedster-X1,30.45,0.98,15.34,82.84,2023-01-01 14:20:20.333661366,1
D-000064,DRN-033-C,RT-SPB-SPB-05,2023-08-02,2023-01-01 09:46:00,Rainy,18.42,0.64,0.72,7.45,83.15,1.73,Fragile,Commercial,Suburban,High,5.24,ND-Speedster-X1,33.1,0.92,31.66,65.68,2023-01-01 10:17:39.573756594,1
D-000065,DRN-023-B,RT-NSK-MOW-02,2023-04-19,2023-01-01 15:56:00,Cloudy,12.22,0.03,1.65,3.87,90.97,6.34,Fragile,Residential,Rural,Medium,2.27,ND-Heavy-Lift-X1,61.08,1.7,13.33,77.39,2023-01-01 16:09:20.053042386,1
D-000066,DRN-088-A,RT-MOW-NSK-02,2023-10-11,2023-01-01 18:50:00,Sunny,14.77,7.61,1.14,16.62,80.72,1.49,Hazardous,Commercial,Rural,Low,2.58,ND-Light-Carry-X1,35.53,1.68,71.2,38.56,2023-01-01 20:01:12.008898642,1
D-000067,DRN-099-B,RT-KZN-EKB-04,2023-04-04,2023-01-01 18:57:00,Sunny,32.5,1.81,0.43,7.06,83.0,4.21,Fragile,Industrial,Suburban,Low,3.33,ND-Heavy-Lift-X1,47.41,1.7,29.37,59.79,2023-01-01 19:26:22.347255306,1
D-000068,DRN-091-C,RT-EKB-EKB-18,2023-08-13,2023-01-01 09:03:00,Cloudy,28.06,1.51,0.9,5.4,83.42,1.37,Standard,Commercial,Suburban,Medium,2.33,ND-AllTerrain-X1,30.38,1.67,14.95,75.86,2023-01-01 09:17:57.043578900,1
D-000069,DRN-065-C,RT-MOW-MOW-14,2023-08-13,2023-01-01 09:21:00,Sunny,38.42,6.45,0.36,0.2,92.65,13.56,Perishable,Commercial,Rural,Low,0.45,ND-Speedster-X1,95.15,1.83,4.09,86.17,2023-01-01 09:25:05.426623812,1
D-000070,DRN-047-B,RT-EKB-KZN-11,2023-08-27,2023-01-01 18:15:00,Sunny,17.66,11.63,1.04,1.03,91.35,0.87,Standard,Residential,Suburban,Medium,1.21,ND-Speedster-X1,34.04,0.78,3.28,89.49,2023-01-01 18:18:16.702909554,1
D-000071,DRN-003-A,RT-EKB-KZN-16,2023-04-28,2023-01-01 16:46:00,Rainy,4.48,5.51,1.91,3.19,95.96,5.09,Hazardous,Industrial,Urban,Low,1.94,ND-Light-Carry-X1,54.72,2.12,13.37,83.77,2023-01-01 16:59:22.190408604,1
D-000072,DRN-005-B,RT-KZN-SPB-02,2023-04-01,2023-01-01 16:22:00,Cloudy,9.71,0.76,0.06,7.02,89.29,0.68,Hazardous,Residential,Urban,Medium,2.65,ND-Speedster-X1,29.8,2.16,30.96,73.91,2023-01-01 16:52:57.716389488,1
D-000073,DRN-014-C,RT-MOW-MOW-11,2023-12-06,2023-01-01 19:56:00,Sunny,0.75,1.99,2.17,2.67,89.5,0.49,Fragile,Residential,Urban,Low,0.19,ND-Heavy-Lift-X1,29.44,2.18,12.34,83.44,2023-01-01 20:08:20.132040450,1
D-000074,DRN-027-A,RT-NSK-NSK-11,2023-10-16,2023-01-01 19:42:00,Sunny,24.2,5.7,0.03,7.44,83.23,3.32,Standard,Industrial,Urban,Medium,3.19,ND-Speedster-X1,45.59,1.84,42.44,50.98,2023-01-01 20:24:26.507264652,1
D-000075,DRN-079-C,RT-KZN-KZN-17,2023-10-08,2023-01-01 08:55:00,Cloudy,7.97,9.5,1.09,2.6,94.85,12.46,Fragile,Commercial,Urban,High,0.35,ND-Light-Carry-X1,89.83,2.22,19.74,65.31,2023-01-01 09:14:44.111408148,1
D-000076,DRN-090-B,RT-SPB-SPB-11,2023-01-19,2023-01-01 13:48:00,Cloudy,-21.66,20.0,1.28,1.26,80.07,5.4,Fragile,Residential,Urban,Medium,9.58,ND-Heavy-Lift-X1,57.95,3.74,-1.91,81.92,2023-01-01 13:46:05.520467610,1
D-000077,DRN-077-C,RT-NSK-EKB-10,2023-06-24,2023-01-01 10:12:00,Cloudy,44.57,2.87,2.15,4.38,88.5,4.41,Standard,Commercial,Suburban,High,1.59,ND-Heavy-Lift-X1,53.72,2.8,22.6,68.26,2023-01-01 10:34:36.233326842,1
D-000078,DRN-063-C,RT-NSK-SPB-14,2023-04-16,2023-01-01 15:31:00,Rainy,8.15,6.92,2.15,1.99,83.77,0.6,Standard,Residential,Rural,Medium,4.24,ND-Light-Carry-X1,34.37,1.56,0.71,83.36,2023-01-01 15:31:42.347837514,1
D-000079,DRN-052-A,RT-EKB-SPB-10,2023-10-16,2023-01-01 10:11:00,Sunny,8.08,0.19,0.81,2.34,95.42,0.68,Standard,Industrial,Urban,Medium,4.67,ND-Heavy-Lift-X1,30.12,1.6,16.68,87.05,2023-01-01 10:27:40.698141816,1
D-000080,DRN-096-B,RT-SPB-NSK-01,2023-09-05,2023-01-01 13:23:00,Sunny,35.06,1.35,0.1,4.0,93.47,7.33,Fragile,Commercial,Urban,Medium,3.54,ND-Light-Carry-X1,67.67,2.03,22.82,67.73,2023-01-01 13:45:49.481269890,1
D-000081,DRN-023-C,RT-KZN-SPB-10,2023-11-19,2023-01-01 17:15:00,Sunny,0.5,1.86,1.77,2.83,94.14,6.51,Perishable,Commercial,Rural,Low,9.42,ND-Light-Carry-X1,63.61,2.05,7.72,85.95,2023-01-01 17:22:43.468361874,1
D-000082,DRN-015-C,RT-SPB-MOW-07,2023-05-22,2023-01-01 07:34:00,Sunny,28.64,14.84,1.07,3.3,82.97,13.65,Hazardous,Commercial,Suburban,Medium,4.04,ND-Speedster-X1,102.73,1.3,13.45,59.94,2023-01-01 07:47:27.256112448,1
D-000083,DRN-029-A,RT-EKB-NSK-09,2023-10-25,2023-01-01 07:16:00,Foggy,7.95,0.01,0.61,10.51,93.38,14.71,Standard,Residential,Suburban,Low,1.85,ND-AllTerrain-X1,109.5,1.47,46.41,8.68,2023-01-01 08:02:24.612298770,1
D-000084,DRN-032-C,RT-SPB-MOW-01,2023-07-12,2023-01-01 07:25:00,Cloudy,-0.89,1.47,0.4,5.53,93.82,6.7,Standard,Commercial,Suburban,Low,2.6,ND-Speedster-X1,67.24,2.14,21.23,70.02,2023-01-01 07:46:13.989472842,1
D-000085,DRN-059-C,RT-MOW-EKB-19,2023-12-17,2023-01-01 11:43:00,Cloudy,35.47,10.66,0.19,1.41,80.05,16.98,Standard,Industrial,Suburban,Medium,0.9,ND-AllTerrain-X1,113.55,1.94,3.24,73.92,2023-01-01 11:46:14.419275348,0
D-000086,DRN-086-B,RT-EKB-EKB-08,2023-10-30,2023-01-01 06:37:00,Rainy,26.08,1.47,0.52,10.88,86.35,24.77,Hazardous,Industrial,Rural,Medium,3.06,ND-Light-Carry-X1,151.51,1.36,46.78,0.0,2023-01-01 07:23:46.931102598,1
D-000087,DRN-042-A,RT-KZN-EKB-09,2023-10-18,2023-01-01 06:01:00,Sunny,26.04,1.02,0.92,2.69,81.75,4.74,Standard,Commercial,Rural,Medium,3.04,ND-Light-Carry-X1,53.08,1.29,18.53,65.36,2023-01-01 06:19:31.643224062,1
D-000088,DRN-062-A,RT-MOW-SPB-12,2023-11-28,2023-01-01 13:45:00,Sunny,19.41,5.24,0.97,4.09,93.63,6.81,Hazardous,Rural,Suburban,Medium,1.6,ND-Speedster-X1,62.33,0.92,9.87,83.38,2023-01-01 13:54:51.931155906,1
D-000089,DRN-006-B,RT-SPB-NSK-07,2023-07-27,2023-01-01 11:08:00,Rainy,22.19,5.47,1.31,4.58,84.24,2.14,Oversized,Commercial,Urban,Medium,2.59,ND-Light-Carry-X1,46.99,1.16,15.35,72.22,2023-01-01 11:23:20.947421940,1
D-000090,DRN-062-C,RT-MOW-NSK-16,2023-09-05,2023-01-01 06:04:00,Stormy,0.21,2.56,0.68,11.23,85.29,8.48,Standard,Residential,Urban,Medium,2.31,ND-Speedster-X1,75.25,2.32,45.06,28.78,2023-01-01 06:49:03.897390930,1
D-000091,DRN-092-A,RT-KZN-MOW-19,2023-05-22,2023-01-01 12:08:00,Cloudy,16.34,11.74,3.79,0.23,81.57,1.86,Standard,Commercial,Suburban,Medium,5.93,ND-Heavy-Lift-X1,41.19,0.93,10.29,74.5,2023-01-01 12:18:17.335621578,1
D-000092,DRN-062-A,RT-KZN-NSK-05,2023-11-07,2023-01-01 19:26:00,Cloudy,3.85,0.91,1.03,4.85,89.68,2.89,Standard,Rural,Urban,High,4.1,ND-Speedster-X1,46.88,2.03,29.09,66.95,2023-01-01 19:55:05.323398654,1
D-000093,DRN-001-A,RT-KZN-MOW-08,2023-08-10,2023-01-01 14:35:00,Rainy,-1.67,9.79,0.83,4.39,80.66,15.49,Standard,Residential,Rural,Medium,2.87,ND-AllTerrain-X1,111.56,2.15,14.33,54.02,2023-01-01 14:49:19.654935210,1
D-000094,DRN-027-B,RT-KZN-KZN-01,2023-08-13,2023-01-01 18:19:00,Sunny,19.93,5.63,0.07,6.14,96.91,3.24,Fragile,Residential,Urban,Medium,0.94,ND-Speedster-X1,48.05,0.93,25.84,76.22,2023-01-01 18:44:50.355177192,1
